class,order,family,genus
Magnoliopsidae,Ranunculales,Ranunculaceae,Asteropyrum
Magnoliopsidae,Asparagales,Orchidaceae,Clematepistephium
Magnoliopsidae,Ranunculales,Ranunculaceae,Anamenia
Magnoliopsidae,Ranunculales,Ranunculaceae,Knowltonia
Diatomae,Rhaponeidales,Rhaphoneidaceae,Delphineis
Magnoliopsidae,Brassicales,Cruciferae,Pleiocardia
Magnoliopsidae,Gentianales,Rubiaceae,Clarkella
Magnoliopsidae,Gentianales,Rubiaceae,Dibridsonia
Rhodophyceae,Bangiales,Bangiaceae,Phyllona
Magnoliopsidae,Rosales,Rhamnaceae,Stenanthemum
Magnoliopsidae,Sapindales,Rutaceae,Leionema
Magnoliopsidae,Zygophyllales,Zygophyllaceae,Tribulopis
Magnoliopsidae,Zingiberales,Zingiberaceae,Kolowratia
Magnoliopsidae,Sapindales,Rutaceae,Merope
Magnoliopsidae,Zingiberales,Zingiberaceae,Nicolaia
Magnoliopsidae,Gentianales,Rubiaceae,Normandia
Magnoliopsidae,Gentianales,Rubiaceae,Gea
Magnoliopsidae,Sapindales,Rutaceae,Monanthocitrus
Magnoliopsidae,Sapindales,Rutaceae,Drummondita
Magnoliopsidae,Sapindales,Rutaceae,Platydesma
Magnoliopsidae,Fabales,Surianaceae,Guilfoylia
Magnoliopsidae,Gentianales,Rubiaceae,Greenia
Magnoliopsidae,Gentianales,Rubiaceae,Pravinaria
Magnoliopsidae,Arecales,Palmae,Didymosperma
Magnoliopsidae,Arecales,Palmae,Kerriodoxa
Magnoliopsidae,Arecales,Palmae,Basselinia
Magnoliopsidae,Arecales,Palmae,Moratia
Magnoliopsidae,Arecales,Palmae,Pritchardiopsis
Magnoliopsidae,Arecales,Palmae,Clinosperma
Magnoliopsidae,Arecales,Palmae,Cyphokentia
Magnoliopsidae,Arecales,Palmae,Brongniartikentia
Magnoliopsidae,Arecales,Palmae,Actinokentia
Magnoliopsidae,Arecales,Palmae,Alloschmidia
Magnoliopsidae,Arecales,Palmae,Burretiokentia
Magnoliopsidae,Arecales,Palmae,Cyphophoenix
Magnoliopsidae,Arecales,Palmae,Campecarpus
Magnoliopsidae,Caryophyllales,Polygonaceae,Tiniaria
Magnoliopsidae,Fabales,Polygalaceae,Pleuropterus
Magnoliopsidae,Caryophyllales,Polygonaceae,Pteroxygonum
Magnoliopsidae,Oxalidales,Oxalidaceae,Acetosella
Magnoliopsidae,Caryophyllales,Polygonaceae,Tovara
Magnoliopsidae,Caryophyllales,Polygonaceae,Eskemukerjea
Magnoliopsidae,Gentianales,Rubiaceae,Leucocodon
