Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.312000	0.453766	1000	0.312000	0.312000	0.313044	
1000	0.357000	0.453766	1000	0.357000	0.357000	0.313385	
1000	0.362000	0.453766	1000	0.362000	0.362000	0.313759	
1000	0.342000	0.453766	1000	0.342000	0.342000	0.313975	
1000	0.327000	0.453766	1000	0.327000	0.327000	0.314073	
1000	0.322000	0.453766	1000	0.322000	0.322000	0.314133	
1000	0.354000	0.453766	1000	0.354000	0.354000	0.314430	
1000	0.341000	0.453766	1000	0.341000	0.341000	0.314627	
1000	0.296000	0.453766	1000	0.296000	0.296000	0.314490	
1000	0.329000	0.453766	1000	0.329000	0.329000	0.314596	
1000	0.308000	0.453766	1000	0.308000	0.308000	0.314548	
1000	0.340000	0.453766	1000	0.340000	0.340000	0.314732	
1000	0.338000	0.453766	1000	0.338000	0.338000	0.314898	
1000	0.365000	0.453766	1000	0.365000	0.365000	0.315253	
1000	0.332000	0.453766	1000	0.332000	0.332000	0.315371	
1000	0.343000	0.453766	1000	0.343000	0.343000	0.315564	
1000	0.332000	0.453766	1000	0.332000	0.332000	0.315678	
1000	0.363000	0.453766	1000	0.363000	0.363000	0.316005	
1000	0.364000	0.453766	1000	0.364000	0.364000	0.316333	
1000	0.349000	0.453766	1000	0.349000	0.349000	0.316556	
1000	0.328000	0.453766	1000	0.328000	0.328000	0.316633	
1000	0.336000	0.453766	1000	0.336000	0.336000	0.316763	
1000	0.343000	0.453766	1000	0.343000	0.343000	0.316938	
1000	0.325000	0.453766	1000	0.325000	0.325000	0.316991	
1000	0.342000	0.453766	1000	0.342000	0.342000	0.317156	
1000	0.335000	0.453766	1000	0.335000	0.335000	0.317272	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.317362	
1000	0.361000	0.453766	1000	0.361000	0.361000	0.317643	
1000	0.355000	0.453766	1000	0.355000	0.355000	0.317883	
