Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1448082637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
59000	-269.186005	29	6.210358	0.247932	0.665260	94.037455	6.905712	78.511216	21.382934	23.145792	16.543770	1.477053	11.370679	7.081249	0.720780	0.194553	0.077791	0.006876	
60000	-273.620689	32	4.397814	1.180392	0.376681	65.402419	74.562433	97.965462	88.592513	54.562308	44.693273	0.584939	16.905822	15.531514	0.600443	0.155476	0.224245	0.019836	
61000	-271.218675	87	3.663324	0.297025	2.505293	88.406020	65.203470	46.788589	76.329065	35.973664	71.469244	7.169620	23.627573	15.115657	0.489610	0.240333	0.207805	0.062253	
62000	-273.696258	56	6.713540	1.068749	0.910919	79.000842	74.175374	84.774609	33.859893	77.859907	39.377884	16.085753	15.881601	6.930663	0.598257	0.192882	0.144854	0.064007	
63000	-275.684289	48	9.309704	0.460394	1.984221	79.787230	19.921874	62.076231	40.616933	38.634463	2.628498	3.556721	13.577579	1.924910	0.611049	0.183946	0.193732	0.011273	
64000	-270.568299	89	3.779728	0.061420	2.313109	74.931359	24.100993	92.987409	15.818152	46.876328	5.939277	6.989503	35.111659	0.785444	0.648919	0.200203	0.101739	0.049138	
65000	-270.243399	99	4.317931	0.198939	4.208633	95.860040	1.227882	78.888668	5.236334	9.769706	36.363066	28.708577	15.680938	5.994382	0.546960	0.282047	0.041239	0.129755	
66000	-270.708664	99	3.009260	0.591470	3.604245	76.384310	12.814112	47.715040	79.001770	9.225340	2.346777	12.149261	14.966996	11.025979	0.430649	0.212254	0.293812	0.063285	
67000	-270.869328	40	3.816061	0.273616	3.037053	43.109430	14.834993	97.168249	23.851544	13.375842	21.180802	23.456848	16.918901	2.171857	0.648292	0.148175	0.105393	0.098140	
68000	-276.203769	95	1.622926	3.021212	2.397508	73.610249	74.265670	54.783075	63.617818	95.448488	46.402113	21.398980	13.533243	7.200430	0.479025	0.218477	0.212098	0.090400	
69000	-272.505936	15	4.737602	1.579962	1.310595	66.806895	36.335817	48.801429	81.616920	19.718197	49.820257	13.400781	8.351183	17.211727	0.514559	0.201254	0.225675	0.058512	
70000	-272.928378	62	3.762051	0.190582	2.600107	95.249469	68.876550	45.405689	20.021518	41.958797	33.510146	29.419352	15.237714	11.405671	0.494535	0.243823	0.129464	0.132178	
71000	-270.718860	5	5.220231	1.081963	0.875439	73.894639	8.209928	90.019486	95.896937	21.093671	6.011833	0.257246	23.067536	23.164094	0.464841	0.163920	0.320799	0.050440	
72000	-270.956193	48	3.438679	0.970311	2.307300	99.637268	9.334870	42.146294	60.085847	40.726514	20.576390	24.399228	4.842851	16.031895	0.408460	0.261710	0.232287	0.097543	
73000	-271.113440	85	6.028807	0.296431	1.927178	79.588196	14.975300	69.284319	67.798838	21.078128	57.747657	19.376597	16.659859	18.404043	0.489215	0.215385	0.203101	0.092299	
74000	-272.800721	31	5.011924	0.201541	2.661755	76.138286	9.259089	97.121708	42.129615	57.999666	27.426286	3.648365	32.061382	15.015523	0.592692	0.191355	0.171712	0.044241	
75000	-271.970911	78	4.097145	0.612831	2.414567	85.884848	30.770291	78.125352	61.422158	47.621344	37.148456	3.785018	38.463278	6.912889	0.515788	0.217671	0.212332	0.054209	
76000	-272.348458	66	2.177961	0.575588	2.460237	94.135381	8.089648	29.059666	6.930555	92.617573	54.105031	8.444442	15.793629	25.120548	0.436379	0.315182	0.171365	0.077074	
77000	-271.299942	10	5.749756	1.405603	0.660734	98.666231	31.658805	85.340209	64.833622	43.101105	63.843050	5.597371	20.005985	19.467648	0.546181	0.220212	0.186647	0.046960	
78000	-269.181220	42	8.426720	0.472425	0.072935	83.622492	23.181158	80.745084	24.277377	1.521842	32.159712	15.466311	15.857409	2.781569	0.652559	0.212136	0.076685	0.058620	
79000	-275.120947	21	7.126382	0.903385	2.977292	96.046435	4.127762	76.862527	72.560810	34.372795	10.399598	25.240838	23.457468	21.012147	0.396667	0.225723	0.247069	0.130541	
80000	-272.925148	89	5.867087	0.502081	0.606676	64.743495	74.426220	70.832507	67.872623	57.447477	39.800281	22.964223	5.685701	10.963900	0.524667	0.187822	0.208000	0.079511	
81000	-273.291914	3	5.478374	0.413990	3.037566	94.512453	20.253154	11.858113	41.489131	34.545980	32.191581	13.306256	20.815361	16.604969	0.431510	0.301621	0.179825	0.087044	
82000	-272.921125	32	5.657412	0.862706	0.022981	93.023386	36.724789	66.358996	67.014557	0.809094	42.501997	4.915868	11.460544	10.802894	0.590851	0.204524	0.184162	0.020463	
83000	-272.918572	36	7.212703	0.447927	0.000079	89.496829	39.272893	86.808597	65.503506	36.696563	12.842642	20.792080	31.610022	8.338057	0.435560	0.217762	0.238474	0.108204	
84000	-271.202774	29	6.224575	1.198998	0.996354	88.945014	6.470175	77.831835	27.685723	7.142345	33.245258	11.000131	9.596009	19.113033	0.655301	0.222262	0.085041	0.037396	
85000	-274.217055	54	2.727016	1.769022	2.465198	43.082965	40.301054	37.404244	80.770352	70.840746	6.778541	7.769658	8.994611	9.597011	0.532322	0.167633	0.267474	0.032570	
86000	-269.454954	40	5.170753	0.022256	2.409480	80.426007	12.024117	69.645199	16.638093	15.402884	31.034047	41.131222	7.702764	3.996924	0.493213	0.247866	0.095643	0.163278	
87000	-268.500010	67	7.190221	0.007132	1.748837	94.931130	23.103642	89.005982	21.140602	18.787021	20.255334	32.355032	9.195632	2.514843	0.537235	0.238255	0.100496	0.124014	
88000	-272.965734	47	4.324870	0.328959	2.594975	56.826872	64.660596	99.168591	43.835991	26.797865	10.541031	28.487431	7.064889	2.485854	0.536572	0.172407	0.189834	0.101187	
89000	-272.886466	41	3.186592	1.283888	2.926806	68.962700	6.045162	32.274191	81.951693	46.061162	85.039834	9.979144	7.255555	15.453491	0.526530	0.233992	0.196281	0.043197	
90000	-270.794511	31	3.675587	0.489444	2.591820	94.575461	20.259512	61.068062	24.847913	22.984257	45.011242	21.119362	18.640000	13.726675	0.512767	0.261766	0.121017	0.104450	
91000	-274.135781	33	2.577795	1.006794	2.022846	41.672222	45.578669	77.087117	62.989165	5.023415	65.907848	18.617246	25.002817	5.726693	0.550518	0.156333	0.207176	0.085973	
92000	-269.714546	83	5.570336	0.064894	0.787454	63.063687	7.084159	93.190449	29.724780	32.475477	14.851741	15.681897	1.615546	17.966838	0.650327	0.166924	0.129347	0.053402	
93000	-271.510745	42	6.488255	0.448885	0.365450	74.052453	61.847889	82.727545	85.450648	92.550979	64.053843	7.081066	10.301941	33.629628	0.526816	0.195455	0.216773	0.060955	
94000	-271.484887	5	5.640041	0.260813	1.961622	85.300957	53.349956	25.301538	45.523972	35.167695	60.039668	5.884877	26.247365	4.400028	0.547080	0.253708	0.153110	0.046103	
95000	-275.483319	52	3.440661	1.332061	3.810329	71.336411	27.271806	87.900758	54.514352	60.990541	6.989970	21.295019	39.597659	0.404343	0.469436	0.201841	0.221135	0.107588	
96000	-274.469230	89	4.342171	1.088387	2.027733	50.802011	17.573187	32.283110	27.025582	49.010152	39.073193	9.679277	12.597094	6.012022	0.681758	0.178947	0.106786	0.032509	
97000	-271.423629	96	3.853022	1.503681	1.498491	88.861293	12.875567	50.150992	84.763674	45.690289	60.897519	14.723843	8.297674	27.889257	0.439996	0.243662	0.228233	0.088109	
98000	-272.586875	44	3.437477	0.886098	1.826533	77.357868	43.591346	11.339977	16.244342	4.882691	55.205457	29.035827	18.110204	0.579577	0.526529	0.257865	0.079904	0.135702	
