Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.263000	0.508591	1000	0.263000	0.263000	0.256443	
1000	0.256000	0.508591	1000	0.256000	0.256000	0.256441	
1000	0.270000	0.508591	1000	0.270000	0.270000	0.256509	
1000	0.183000	0.508591	1000	0.183000	0.183000	0.256143	
1000	0.269000	0.451040	1000	0.269000	0.269000	0.256207	
1000	0.304000	0.451040	1000	0.304000	0.304000	0.256442	
1000	0.272000	0.451040	1000	0.272000	0.272000	0.256518	
1000	0.281000	0.451040	1000	0.281000	0.281000	0.256638	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.256839	
1000	0.292000	0.451040	1000	0.292000	0.292000	0.257008	
1000	0.304000	0.451040	1000	0.304000	0.304000	0.257234	
1000	0.327000	0.451040	1000	0.327000	0.327000	0.257568	
1000	0.275000	0.451040	1000	0.275000	0.275000	0.257651	
1000	0.308000	0.451040	1000	0.308000	0.308000	0.257890	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.258150	
1000	0.303000	0.451040	1000	0.303000	0.303000	0.258360	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.258616	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.258962	
1000	0.304000	0.451040	1000	0.304000	0.304000	0.259170	
1000	0.303000	0.451040	1000	0.303000	0.303000	0.259372	
1000	0.305000	0.451040	1000	0.305000	0.305000	0.259581	
1000	0.293000	0.451040	1000	0.293000	0.293000	0.259734	
1000	0.310000	0.451040	1000	0.310000	0.310000	0.259962	
1000	0.326000	0.451040	1000	0.326000	0.326000	0.260261	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.260526	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.260775	
1000	0.297000	0.451040	1000	0.297000	0.297000	0.260936	
1000	0.326000	0.451040	1000	0.326000	0.326000	0.261226	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.261455	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.261682	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.261841	
1000	0.301000	0.451040	1000	0.301000	0.301000	0.262012	
1000	0.304000	0.451040	1000	0.304000	0.304000	0.262195	
1000	0.279000	0.451040	1000	0.279000	0.279000	0.262267	
1000	0.312000	0.451040	1000	0.312000	0.312000	0.262482	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.262784	
1000	0.306000	0.451040	1000	0.306000	0.306000	0.262969	
1000	0.314000	0.451040	1000	0.314000	0.314000	0.263186	
1000	0.323000	0.451040	1000	0.323000	0.323000	0.263440	
1000	0.307000	0.451040	1000	0.307000	0.307000	0.263623	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.263856	
1000	0.297000	0.451040	1000	0.297000	0.297000	0.263995	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.264282	
1000	0.324000	0.451040	1000	0.324000	0.324000	0.264530	
1000	0.287000	0.451040	1000	0.287000	0.287000	0.264623	
1000	0.294000	0.451040	1000	0.294000	0.294000	0.264744	
