Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            643823919
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
66000	-799.704296	1	0.000328	0.000013	0.000550	0.004459	0.035957	0.000315	0.017149	0.039321	0.021847	0.029747	0.000420	0.000013	0.001431	0.174166	0.823582	0.000821	
67000	-804.381547	1	0.000302	0.000255	0.000308	0.006845	0.044650	0.003120	0.007810	0.059204	0.030762	0.028219	0.001390	0.000790	0.009763	0.288038	0.681352	0.020847	
68000	-804.285686	1	0.000114	0.000110	0.000421	0.007619	0.008921	0.011117	0.006523	0.014378	0.011773	0.030873	0.000873	0.000708	0.000852	0.445514	0.546767	0.006866	
69000	-801.596830	1	0.000379	0.000217	0.000444	0.009677	0.023498	0.005893	0.002889	0.035920	0.014866	0.028665	0.000444	0.000471	0.046017	0.480145	0.447964	0.025874	
70000	-802.288696	1	0.000296	0.000245	0.000280	0.001204	0.069844	0.002983	0.013529	0.085638	0.028564	0.030965	0.000936	0.000367	0.008016	0.245802	0.734797	0.011385	
71000	-801.957335	1	0.000332	0.000101	0.000521	0.000173	0.057254	0.009706	0.017945	0.077336	0.006460	0.023444	0.000246	0.000068	0.030848	0.141543	0.824975	0.002634	
72000	-804.732560	1	0.000287	0.000065	0.000406	0.003007	0.017145	0.000204	0.025291	0.001582	0.030553	0.028185	0.000144	0.000173	0.009621	0.967400	0.021118	0.001860	
73000	-802.778091	1	0.000195	0.000136	0.000555	0.001718	0.033176	0.004812	0.016399	0.061628	0.015331	0.026906	0.000262	0.000410	0.009749	0.080885	0.902044	0.007322	
74000	-802.047221	1	0.000278	0.000158	0.000247	0.005516	0.044458	0.016940	0.010646	0.074950	0.000822	0.029764	0.000829	0.000214	0.005528	0.622149	0.363915	0.008408	
75000	-805.279701	1	0.000012	0.000425	0.000397	0.015210	0.027526	0.005658	0.003360	0.065259	0.007305	0.026602	0.000802	0.000685	0.004746	0.649088	0.338197	0.007970	
76000	-811.207033	1	0.000013	0.000657	0.000075	0.002515	0.047899	0.003275	0.043370	0.088589	0.017037	0.025966	0.000960	0.001391	0.002064	0.423397	0.568902	0.005636	
77000	-804.037001	1	0.000057	0.000418	0.000254	0.003392	0.032169	0.004387	0.010668	0.049363	0.033648	0.028216	0.000269	0.001088	0.006957	0.180216	0.803376	0.009451	
78000	-801.820076	1	0.000416	0.000036	0.000536	0.004235	0.026648	0.005942	0.022999	0.029122	0.008487	0.026550	0.000608	0.000187	0.003323	0.222189	0.772564	0.001925	
79000	-805.227186	1	0.000222	0.000033	0.000463	0.011351	0.009556	0.008512	0.003472	0.026905	0.006605	0.028812	0.000110	0.002123	0.001776	0.714235	0.241598	0.042391	
80000	-809.359077	1	0.000344	0.000053	0.000460	0.007932	0.041567	0.026107	0.002401	0.084619	0.000853	0.029766	0.003017	0.000492	0.003776	0.680381	0.283385	0.032458	
81000	-804.016399	1	0.000618	0.000023	0.000553	0.008748	0.017187	0.015091	0.004123	0.035268	0.006548	0.033311	0.000224	0.000005	0.009345	0.683793	0.304771	0.002091	
82000	-803.621585	1	0.000481	0.000049	0.000484	0.010760	0.045681	0.005126	0.001911	0.094898	0.023082	0.028175	0.000460	0.000022	0.013030	0.498127	0.485091	0.003753	
83000	-800.412899	1	0.000246	0.000230	0.000425	0.003042	0.045677	0.000965	0.011851	0.068369	0.033120	0.030373	0.000659	0.000455	0.007858	0.144177	0.838196	0.009769	
84000	-807.760518	1	0.000283	0.000648	0.000504	0.000191	0.040005	0.000822	0.040694	0.075837	0.029302	0.023911	0.001156	0.000529	0.028736	0.081613	0.882953	0.006698	
85000	-802.783619	1	0.000056	0.000340	0.000370	0.000203	0.031217	0.001275	0.027803	0.032314	0.021226	0.025734	0.001587	0.000996	0.002039	0.085441	0.901759	0.010761	
