Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
818	0.327628	182	0.901099	0.084383	818	0.327628	0.432000	0.379574	
847	0.293979	153	0.862745	0.084383	847	0.293979	0.381000	0.379582	
834	0.424460	166	0.849398	0.084383	834	0.424460	0.495000	0.380227	
848	0.259434	152	0.868421	0.136868	848	0.259434	0.352000	0.380070	
810	0.188889	190	0.868421	0.136868	810	0.188889	0.318000	0.379727	
802	0.200748	198	0.873737	0.128813	802	0.200748	0.334000	0.379476	
837	0.250896	163	0.834356	0.128813	837	0.250896	0.346000	0.379293	
834	0.236211	166	0.909639	0.128813	834	0.236211	0.348000	0.379123	
834	0.254197	166	0.855422	0.128813	834	0.254197	0.354000	0.378987	
841	0.234245	159	0.855346	0.128813	841	0.234245	0.333000	0.378740	
830	0.191566	170	0.894118	0.128813	830	0.191566	0.311000	0.378378	
826	0.309927	174	0.879310	0.117321	826	0.309927	0.409000	0.378541	
844	0.258294	156	0.897436	0.117321	844	0.258294	0.358000	0.378432	
799	0.242804	201	0.840796	0.117321	799	0.242804	0.363000	0.378351	
804	0.211443	196	0.841837	0.117321	804	0.211443	0.335000	0.378124	
827	0.314389	173	0.895954	0.117321	827	0.314389	0.415000	0.378316	
829	0.258142	171	0.754386	0.117321	829	0.258142	0.343000	0.378133	
818	0.245721	182	0.846154	0.117321	818	0.245721	0.355000	0.378014	
854	0.312646	146	0.863014	0.117321	854	0.312646	0.393000	0.378090	
834	0.212230	166	0.819277	0.117321	834	0.212230	0.313000	0.377758	
841	0.221165	159	0.849057	0.117321	841	0.221165	0.321000	0.377470	
789	0.207858	211	0.805687	0.117321	789	0.207858	0.334000	0.377251	
846	0.289598	154	0.792208	0.117321	846	0.289598	0.367000	0.377199	
808	0.180693	192	0.822917	0.117321	808	0.180693	0.304000	0.376833	
850	0.295294	150	0.780000	0.108524	850	0.295294	0.368000	0.376789	
789	0.275032	211	0.867299	0.108524	789	0.275032	0.400000	0.376904	
803	0.255293	197	0.873096	0.108524	803	0.255293	0.377000	0.376905	
800	0.277500	200	0.915000	0.108524	800	0.277500	0.405000	0.377042	
816	0.323529	184	0.885870	0.108524	816	0.323529	0.427000	0.377286	
822	0.369830	178	0.853933	0.108524	822	0.369830	0.456000	0.377668	
819	0.238095	181	0.900552	0.108524	819	0.238095	0.358000	0.377573	
838	0.230310	162	0.845679	0.108524	838	0.230310	0.330000	0.377344	
815	0.283436	185	0.891892	0.108524	815	0.283436	0.396000	0.377434	
814	0.243243	186	0.860215	0.108524	814	0.243243	0.358000	0.377341	
811	0.245376	189	0.857143	0.108524	811	0.245376	0.361000	0.377264	
812	0.242611	188	0.835106	0.108524	812	0.242611	0.354000	0.377154	
